Variable,Description,New variable?
MATPROG_NOTFSM6CLA1A_UPPER,"Unadjusted, Maths progress weighted score UCI, non-disadvantaged pupils",
RWMEXP_WGTAVG,"Percentage achieving expected standard in RWM measure, weighted",NEW
RWMEXP_DIS_WGTAVG,"Percentage achieving expected standard in RWM measure, weighted, disadvantaged pupils",NEW
RWMEXP_NONDIS_WGTAVG,"Percentage achieving expected standard in RWM measure, weighted, non-disadvantaged pupils",NEW
TPUP,Number of eligible pupils,
KS2APS,KS2 average points score,
PTFSM6CLA1A,Percentage of pupils who are disadvantaged,
PTNOTFSM6CLA1A,Percentage of pupils who are non-disadvantaged,
PTSEN,Percentage of pupils who are SEN,Yes
PTEALGRP2,Percentage of pupils with English as foreign language,
ACCCONVERTER,Number of schools in MAT that are converters,
ACCSPONSOR,Number of schools in MAT that are sponsor led,
FREE_STUDIO_UTC,"Number of schools in MAT that are free schools, studio schools or UTCs",
YEARS3,Number of schools which have been in MAT between three and four years,
YEARS4,Number of schools which have been in MAT between four and five years,
YEARS5,Number of schools which have been in MAT for five or more years,
P8BANDING,Progress 8 banding,
EBACC_E_PTQ_EE_WGTAVG,"Percentage of pupils entering EBacc, weighted average",
EBACC_95_WGTAVG,"Percentage of pupils achieving EBacc 9-5, weighted average",
EBACC_94_WGTAVG,"Percentage of pupils achieving EBacc 9-4, weighted average",
EBACC_E_PTQ_EE_WGTAVG_FSM6CLA1A,"Percentage of pupils entering EBacc, weighted average, disadvantaged pupils",
EBACC_95_WGTAVG_FSM6CLA1A,"Percentage of pupils achieving EBacc 9-5, weighted average, disadvantaged pupils",
EBACC_94_WGTAVG_FSM6CLA1A,"Percentage of pupils achieving EBacc 9-4, weighted average, disadvantaged pupils",
EBACC_E_PTQ_EE_WGTAVG_NOTFSM6CLA1A,"Percentage of pupils entering EBacc, weighted average, non-disadvantaged pupils",
EBACC_95_WGTAVG_NOTFSM6CLA1A,"Percentage of pupils achieving EBacc 9-5, weighted average, non-disadvantaged pupils",
EBACC_94_WGTAVG_NOTFSM6CLA1A,"Percentage of pupils achieving EBacc 9-4, weighted average, non-disadvantaged pupils",
P8SCORE_ADJ_WGTAVG,Adjusted Progress 8 weighted score,
P8SCORE_ADJ_LOWER,Adjusted Progress 8 weighted score LCI,
P8SCORE_ADJ_UPPER,Adjusted Progress 8 weighted score UCI,
P8SCORE_ORIG_WGTAVG,Unadjusted Progress 8 weighted score,
P8SCORE_ORIG_LOWER,Unadjusted Progress 8 weighted score LCI,
P8SCORE_ORIG_UPPER,Unadjusted Progress 8 weighted score UCI,
EBACCAPS_WGTAVG,"EBacc average point score, weighted average",
P8SCORE_ADJ_WGTAVG_FSM6CLA1A,"Adjusted Progress 8 weighted score, disadvantaged pupils",
